id,cluster_graph,cluster_kmean,ground
3673085513,3,9,13
3728461550,14,1,7
3679822317,3,7,13
3737396674,14,1,17
3707353481,4,10,10
3736257697,8,8,3
3674619341,3,12,14
3738976895,8,8,5
3732705619,8,8,18
3742061238,1,1,10
3731776850,8,8,1
3727732407,14,1,7
3736258401,4,1,4
3732710108,4,1,8
3690899529,14,1,18
3727571312,4,10,11
3673085739,3,7,13
3732706680,4,1,17
3641762901,3,9,13
3738559982,4,1,17
3673077892,3,9,13
3699871889,14,1,18
3704949611,14,1,11
3730068366,14,1,12
3733476979,14,1,8
3735084527,4,10,7
3690100373,14,1,10
3664564688,14,1,5
3735954336,14,1,11
3736467084,14,1,8
3740217048,14,1,0
3734223438,10,1,2
3718297408,14,1,6
3733071905,14,1,17
3742900228,7,1,1
3732710165,4,1,2
3732709222,7,1,8
3702212539,14,1,19
3728786842,6,1,6
3732708256,4,1,19
3641773703,3,5,14
3641765661,3,12,14
3673086430,3,7,13
3742754996,4,1,19
3742755564,14,1,8
3732283343,4,10,1
3644204385,8,8,11
3737895853,14,1,3
3673126607,8,8,19
3735950841,4,1,0
3717206861,8,8,15
3739541982,8,8,13
3736443618,8,1,13
3601393306,14,1,16
3738131454,14,1,13
3714217421,14,1,12
3731563557,7,1,12
3732233018,14,1,13
3737951338,5,1,17
3729711413,7,4,7
3732707467,4,1,18
3699684603,14,1,19
3735673332,10,1,0
3723396992,4,1,3
3736168524,14,1,16
3732215603,4,1,6
3724368970,4,8,5
3737526833,8,8,18
3732704092,14,1,2
3741028092,14,1,17
3733406794,14,1,6
3641761745,14,1,4
3665707277,14,1,11
3727015683,4,1,0
3738377797,4,1,8
3732218963,7,4,8
3738185958,14,1,11
3725555874,4,1,3
3711655940,7,4,3
3707040281,14,1,19
3737190461,4,8,6
3730141592,7,0,8
3303581157,14,1,15
3668765607,14,1,5
3722160337,14,1,6
3732705660,4,1,18
3737780092,4,1,6
3728820236,4,1,11
3732708311,4,1,8
3736136818,14,1,10
3726590884,14,1,3
3728211952,7,4,15
3742143529,7,4,12
3720770374,7,4,3
3704876682,7,4,1
3735648339,14,1,5
3641767139,14,8,13
3737990074,4,1,19
3729945866,7,4,15
3715189653,14,1,6
3672966254,7,4,1
3707080426,1,1,5
3733350418,4,10,11
3711520489,6,1,3
3723324396,7,0,12
3732704984,8,8,2
3732709227,4,1,2
3727215539,4,1,0
3710033176,7,1,1
3711660203,7,4,11
3730370874,4,10,19
3735095264,4,1,12
3688197861,4,10,12
3738992010,5,1,12
3731410302,8,8,12
3708507837,8,8,15
3732706583,4,1,2
3732868165,14,1,4
3715387834,14,1,17
3731094871,7,4,7
3723249462,4,1,15
3726278718,4,10,10
3582398671,4,1,14
3718941896,4,1,2
3729057275,7,4,7
3738982865,14,1,16
3707036647,14,1,15
3731098662,7,4,7
3673084182,14,1,13
3681500777,14,1,15
3735094325,4,1,12
3732705571,4,1,15
3728773839,10,1,6
3736672605,14,1,2
3688542865,14,1,2
3707368288,4,1,13
3730249697,4,1,13
3724367768,4,1,5
3731604585,14,1,4
3724415000,6,1,15
3661007506,7,4,3
3699221597,7,4,1
3728426916,14,1,1
3708576454,6,1,12
3685997399,14,1,2
3708513143,14,1,15
3732710097,4,1,8
3726709647,7,4,1
3737986658,4,1,8
3733761710,7,4,1
3741193095,4,1,0
3701782278,7,4,1
3734118425,4,1,12
3706656763,14,1,15
3708567312,14,1,15
3728598012,4,1,10
3738545172,7,1,6
3741764560,8,1,11
3732711085,14,1,8
3737491805,8,8,11
3724340990,7,4,1
3696198710,14,1,11
3708509642,14,1,19
3727350502,14,1,8
3737776257,4,1,6
3733971563,6,1,16
3716913790,7,4,10
3736639218,5,1,16
3721923080,7,4,7
3732174140,10,3,17
3737231871,14,1,12
3730574393,6,1,2
3732039435,14,1,5
3729712439,7,4,1
3733349683,4,1,5
3696884481,7,4,1
3671822345,7,4,7
3732174143,10,3,3
3725576217,7,4,7
3706787822,4,1,4
3693024492,7,4,7
3713673550,14,1,6
3715804445,7,4,7
3732705648,4,1,2
3710067327,4,10,1
3656541480,14,1,1
3723072614,7,4,8
3732557610,4,10,1
3736572752,7,1,1
3736607505,4,1,6
3658909284,7,4,3
3709889735,4,10,1
3728292237,4,1,19
3734691158,8,8,6
3738162692,7,4,1
3727847609,4,1,8
3730587613,7,4,10
3718384423,13,1,4
3687823200,8,1,5
3725265172,4,1,10
3738190928,4,1,3
3684417077,14,1,3
3734721199,4,10,1
3712054491,8,1,12
3661673807,4,10,1
3731299366,7,4,17
3738378291,8,8,10
3737171146,14,1,19
3721301968,7,1,11
3727032112,14,1,2
3730562750,7,4,7
3677220558,14,1,15
3733663096,6,1,6
3732707461,8,8,18
3708579255,6,1,16
3681504095,4,1,15
3676099252,4,1,2
3709893182,4,10,7
3717178169,14,1,6
3732612168,8,8,15
3709893173,4,10,1
3661065121,7,4,7
3732565214,14,1,3
3676095688,14,1,15
3720914441,14,1,16
3731852198,7,1,12
3730568794,14,1,17
3732711063,4,1,2
3738995417,8,8,3
3737404545,7,4,1
3724312445,7,1,1
3709887889,4,10,1
3736215508,4,1,3
3695404872,7,4,10
3727239529,10,1,17
3724886109,14,1,4
3733689511,10,3,17
3350686113,7,1,1
3712054488,8,8,17
3728314596,14,1,6
3618977206,4,10,1
3711520488,6,1,5
3739116255,8,8,5
3736882027,7,1,10
3712797338,14,1,7
3737382375,6,1,16
3709892762,4,10,1
3734599812,14,1,2
3735089906,14,1,6
3730583887,7,1,7
3741518336,7,1,7
3737168273,7,4,8
3709891533,6,1,7
3686771280,14,1,14
3736017010,8,8,11
3730143357,7,4,2
3709888840,4,10,1
3726708678,7,4,7
3708566339,14,1,19
3738816981,7,4,10
3736266000,7,4,10
3701057059,4,1,14
3705742466,8,8,1
3725493546,14,1,17
3727074428,14,1,0
3728955932,4,1,18
3727380304,8,8,8
3711089762,6,1,2
3735366205,7,4,18
3691343257,6,1,18
3587419609,8,8,6
3733587081,14,1,3
3709893165,4,10,1
3724443929,8,8,3
3709890677,4,10,12
3711552586,8,8,3
3733785817,14,1,7
3723352045,4,1,5
3730691551,14,1,4
3721920219,7,4,7
3725539893,14,1,13
3648595807,7,4,7
3721427060,14,1,16
3695765815,7,1,5
3698323911,14,1,11
3734826801,14,1,3
3709892498,4,10,12
3732000005,7,4,7
3733090098,7,4,7
3736460851,8,8,15
3729388425,4,1,0
3652428321,4,10,11
3729371610,4,1,5
3696880883,7,4,10
3691112889,14,1,3
3726576930,7,4,7
3693547733,4,10,10
3656360733,7,4,7
3728254395,14,1,14
3738987298,10,1,5
3737792367,14,1,5
3711522298,6,1,12
3701580172,8,8,17
3709889736,4,10,1
3721187215,7,4,7
3646735885,14,1,0
3733091059,7,4,7
3720350499,7,4,7
3729740204,14,1,7
3731095764,7,4,10
3738548768,14,1,17
3709887878,4,10,1
3729832137,7,1,1
3733085776,7,4,7
3736639726,5,1,16
3646973068,8,8,6
3694156485,14,1,5
3711519921,6,1,12
3679810790,4,1,8
3738812353,4,1,0
3718295235,7,4,10
3732863099,14,1,15
3742411069,14,1,17
3737169148,10,3,18
3726695455,14,1,17
3732220891,10,3,19
3675322136,11,1,19
3680684629,14,1,6
3737206149,14,1,11
3341144377,14,1,19
3741153245,6,8,0
3644641934,6,1,0
3687641072,14,1,13
3667296454,14,1,12
3737240258,4,1,6
3737169152,10,3,3
3729502869,12,1,9
3741736001,4,1,0
3730362209,10,3,3
3732705590,4,1,18
3725260601,12,1,4
3732711073,14,1,2
3740721379,14,1,18
3729152801,14,1,14
3721885159,12,13,4
3664528389,14,1,14
3702211593,14,1,15
3722468093,4,1,7
3687783196,6,1,2
3741216623,14,1,18
3737237519,4,1,18
3737686109,6,1,1
3708511295,14,1,19
3687778767,3,1,5
3729504686,12,13,4
3720761308,6,1,1
3738374889,14,1,4
3666754882,6,8,3
3732851578,10,3,15
3725412467,4,10,1
3733999716,10,3,3
3741122921,6,1,7
3735956323,4,1,15
3725934350,12,1,17
3734800883,4,1,11
3724301912,14,1,7
3740272014,8,8,7
3728966326,12,1,0
3731366794,4,1,11
3730099190,4,1,7
3732083135,3,1,11
3716097654,8,1,16
3723233073,6,1,7
3742409272,14,1,16
3735655343,6,8,10
3676099235,14,1,15
3728772181,4,1,6
3600143852,6,8,3
3739615190,8,8,1
3733346039,14,1,7
3724340705,8,8,12
3736649012,4,8,1
3726897583,4,1,17
3741078863,14,1,16
3735566188,14,1,1
3737170105,10,3,19
3741667936,14,1,7
3737216328,14,1,10
3688000649,14,1,4
3732704982,4,1,15
3719385199,14,1,12
3729508158,12,13,4
3732706548,4,1,15
3735954414,6,1,6
3732893218,4,10,10
3729509052,12,13,4
3578402741,6,1,7
3720873885,14,1,5
3734688497,14,1,5
3733344902,14,1,7
3731138907,14,1,19
3737235572,4,1,18
3741472622,14,1,7
3741786747,14,1,3
3741130129,14,1,17
3582801924,6,1,7
