id,cluster_adj
3735683954,2
3736346139,7
3740044821,1
3728818966,1
3732489753,8
3732612100,1
3641766647,12
3673078808,12
3738158604,19
3733402718,18
3736256809,1
3732126059,1
3726292305,1
3739392611,11
3651754067,4
3737451006,4
3710526267,1
3732707471,1
3649666448,15
3735409924,3
3737405580,4
3732704923,3
3733438493,13
3708835883,9
3729001415,2
3741767383,16
3737723368,2
3738981922,8
3720122993,19
3584484398,15
3641768357,12
3732570080,2
3723988355,1
3688418060,19
3673080745,1
3741947507,19
3735956531,3
3730373638,8
3673082400,12
3720326473,8
3641769989,12
3725316569,8
3736648138,7
3724258124,13
3714629012,1
3737357769,7
3736647172,7
3667476344,8
3735306827,1
3699644267,16
3741968274,1
3740059000,2
3738514558,19
3723972823,8
3735365289,14
3737404038,1
3732282540,7
3664554925,4
3728467377,15
3728146520,1
3668047229,6
3730066671,19
3734118028,16
3732715357,3
3681922904,1
3736840210,3
3664531955,8
3731365652,8
3724691051,2
3737043011,1
3668254640,1
3736839140,3
3726387224,4
3737987688,1
3739116156,1
3733813907,7
3691765287,1
3739558733,1
3732894230,7
3734123702,16
3734720606,1
3672714202,8
3737359708,7
3670843133,1
3726615898,4
3691150403,19
3734596946,7
3730371784,8
3735936484,4
3732415810,1
3741259248,1
3621022700,1
3737357802,7
3724819775,2
3736897918,8
3735955237,3
3737727290,4
3733570913,1
3641764860,12
3731286342,7
3737359678,7
3720305774,8
3728844807,16
3664560294,18
3722176010,8
3732705621,8
3730701144,1
3725353943,19
3736834848,3
3741970610,16
3720115111,8
3734873498,8
3654584312,7
3716402604,8
3673078968,12
3673085513,12
3728461550,1
3679822317,12
3737396674,8
3707353481,7
3736257697,1
3674619341,12
3738976895,6
3732705619,2
3742061238,13
3731776850,1
3727732407,19
3736258401,1
3732710108,3
3690899529,8
3727571312,7
3673085739,12
3732706680,1
3641762901,12
3738559982,1
3673077892,12
3699871889,2
3704949611,2
3730068366,1
3733476979,8
3735084527,7
3690100373,1
3664564688,16
3735954336,19
3736467084,15
3740217048,0
3734223438,2
3718297408,16
3733071905,8
3742900228,2
3732710165,1
3732709222,16
3702212539,18
3732708256,3
3641773703,12
3641765661,12
3673086430,12
3742754996,1
3742755564,1
3732283343,7
3644204385,1
3737895853,19
3673126607,1
3735950841,2
3717206861,2
3739541982,1
3736443618,1
3601393306,1
3738131454,4
3714217421,8
3731563557,13
3732233018,8
3737951338,8
3729711413,10
3732707467,1
3699684603,1
3735673332,2
3723396992,14
3736168524,15
3732215603,2
3724368970,14
3737526833,1
3732704092,3
3741028092,1
3733406794,1
3641761745,8
3665707277,19
3727015683,2
3738377797,3
3732218963,10
3738185958,8
3725555874,8
3711655940,10
3707040281,1
3737190461,2
3730141592,10
3303581157,1
3668765607,16
3722160337,3
3732705660,9
3737780092,1
3728820236,2
3732708311,3
3736136818,1
3726590884,15
3728211952,10
3742143529,10
3720770374,10
3704876682,10
3735648339,2
3641767139,8
3737990074,3
3729945866,14
3715189653,2
3672966254,10
3707080426,1
3733350418,19
3711520489,9
3723324396,10
3732704984,1
3732709227,2
3727215539,4
3710033176,2
3711660203,10
3730370874,8
3735095264,2
3688197861,2
3738992010,4
3731410302,4
3708507837,1
3732706583,1
3732868165,8
3715387834,1
3731094871,10
3723249462,13
3726278718,8
3582398671,1
3718941896,8
3729057275,10
3738982865,8
3707036647,13
3731098662,10
3673084182,8
3681500777,13
3735094325,2
3732705571,13
3736672605,4
3688542865,15
3707368288,3
3730249697,2
3724367768,2
3731604585,16
3724415000,9
3661007506,10
3699221597,10
3728426916,1
3708576454,9
3685997399,8
3708513143,1
3732710097,9
3726709647,10
3737986658,3
3733761710,10
3741193095,1
3701782278,10
3734118425,8
3706656763,15
3708567312,1
3728598012,1
3741764560,1
3732711085,4
3737491805,1
3724340990,10
3696198710,18
3708509642,13
3727350502,8
3737776257,1
3733971563,9
3716913790,10
3736639218,8
3721923080,10
3732174140,11
3737231871,4
3730574393,9
3732039435,2
3729712439,10
3733349683,2
3696884481,10
3671822345,10
3732174143,11
3725576217,14
3706787822,13
3693024492,14
3713673550,2
3715804445,10
3732705648,1
3710067327,16
3656541480,16
3723072614,10
3732557610,2
3736572752,0
3736607505,2
3658909284,10
3709889735,2
3728292237,15
3738162692,10
3727847609,8
3730587613,10
3718384423,13
3687823200,1
