id,cluster_noun
3742712983,1
3705897415,10
3740389548,13
3741481000,1
3716914342,11
3732560177,16
3730374331,2
3673108398,11
3656429001,11
3736840242,1
3735263030,14
3734693394,10
3736246337,14
3707649794,16
3728826395,1
3736674976,14
3734203493,1
3702211594,13
3724266285,16
3648520788,2
3673576440,16
3732710120,1
3707032590,16
3738080557,16
3738922458,16
3676865762,10
3590303571,1
3737417817,1
3738247853,4
3735911902,1
3739613047,16
3581141629,1
3710999854,2
3706081820,14
3732704943,7
3732710094,10
3724277833,5
3735034364,1
3711690478,1
3735913304,16
3735093942,16
3705727021,15
3739532869,1
3734559102,0
3725581026,11
3716063050,11
3673083503,5
3739872224,15
3732206129,2
3740232223,1
3701738308,10
3726643133,1
3642711952,16
3738160990,10
3664073509,16
3673089033,5
3733575296,2
3737604175,7
3733083485,14
3740096086,9
3733971159,2
3708506883,1
3708506876,10
3728609454,3
3707350323,9
3717056831,7
3677243430,10
3740391406,1
3733676570,9
3736851202,10
3695980818,10
3732280842,2
3669506663,10
3715850196,16
3736170203,4
3728284107,9
3740052241,0
3724260027,10
3740302723,14
3723238539,1
3718415807,1
3739534588,1
3731376318,1
3742166838,10
3709397356,2
3732708242,10
3739325114,16
3727737543,10
3664541738,11
3723241407,1
3737066056,1
3703429324,11
3664562997,10
3736677743,2
3641777295,5
3731920207,0
3735666549,16
3641767486,5
3732010959,16
3673084695,5
3711655059,1
3711771384,19
3740232214,2
3726963258,16
3736841128,11
3732218970,12
3687764366,11
3736344200,9
3731290042,9
3718297052,1
3670387950,1
3716916747,14
3721890512,11
3732706601,14
3675558535,9
3737494827,11
3730577605,7
3732711040,14
3730375312,9
3706656699,14
3740231313,7
3704896303,9
3737065241,16
3730720194,15
3734213818,12
3641770042,5
3723217544,0
3701731722,10
3741138074,10
3711780164,11
3737515553,13
3732587432,1
3724349678,16
3736842052,15
3735129894,11
3735266151,16
3732708293,15
3735650008,9
3707759475,15
3724258629,3
3741481582,2
3741125847,11
3641766823,5
3734919525,13
3598845835,2
3690683736,14
3728826396,7
3732357331,15
3710751759,3
3641767702,5
3732005746,0
3703434032,10
3710756337,7
3641774635,4
3709481584,14
3732890637,9
3736255795,11
3622508936,16
3712839025,9
3673078872,5
3716062022,7
3720128091,15
3742154360,3
3737648360,15
3635614728,3
3718388727,1
3661861055,1
3729092063,8
3724280682,5
3732711004,7
3732704903,7
3707038340,1
3742407096,7
3738534220,16
3741916905,16
3641777083,5
3673669734,16
3727540810,0
3735665665,16
3737787516,11
3735218997,6
3725262357,1
3686759489,16
3723236759,16
3741083262,4
3670243526,2
3720127424,7
3737397873,3
3725564838,1
3728463995,9
3728426360,6
3741517723,14
3706995810,1
3735374477,11
3734467681,1
3738108382,14
3641766866,5
3641775779,5
3735742164,16
3731643132,9
3703431294,10
3724764727,11
3719613299,9
3729947683,12
3708574187,16
3720991428,16
3641768531,5
3732086091,1
3730983181,9
3736798822,7
3721786066,11
3716068182,3
3695087132,11
3736566235,16
3733407124,9
3742720063,11
3740884492,1
3726229371,10
3641771014,5
3714444948,11
3732709192,1
3727402685,16
3731845135,10
3712727254,6
3735683954,3
3736346139,9
3740044821,10
3728818966,10
3732489753,15
3732612100,16
3641766647,5
3673078808,5
3738158604,15
3733402718,9
3736256809,16
3732126059,1
3726292305,14
3739392611,12
3651754067,1
3737451006,16
3710526267,11
3732707471,1
